Reviews,Rating
"I got this for my birthday and I have been using about a month now.  This is my first Fitbit so I can't really compare to the other models but as an individual product it is great.I bought it to encourage me to walk more and have been using it for my couch 2 5k runs, I find it seems fairly accurate and the automatic workout sensor is very cool although it did get it wrong one time and thought I was on the eliptical when I was actually running lol! but every other time it has been correct in sensing whether I am running or walking.The sleep function is very cool and seems to be accurate, I find it interesting to check each morning!The app is great although at times I can have trouble SYNCing it to my watch, it always resolves after I turn off bluetooth and reconnect but can get a bit annoying.  The app is great though, you can find more in depth information about your sleep cycles, your steps, distance you've walked, your workouts and more, you can track your period and symptoms and it will predict when you are next due on, you can also track your birth conrol pills etc.  I you wish you can track your calories and the food you've eaten or the water you have dank.  There is a community section and you can add your friends to motivate and support each other which is very nice.  There are many apps to choose from, there are apps for kegel exercises, for meditation/mindfulness, for toothbrushing etc.There is a premium function but I have not bought it, through this you have access to workouts etc but for me personally I wasn't willing to pay for it from the reviews I read it seemed overpriced.  Another thing I have read is aparently the tend to break if you use them in water so be careful of that..I personally take it off to shower etc as to me it's not worth the risk.  I like to use spotify through my watch when running/walking as it makes it so much easier to skip through songs rather than pulling my whole phone out!Overall I am very happy with the watch, it looks great, I got the pink colour and I love it! It looks smart and goes with every outfit and it doubles up as a nice accessory as well as being functional.  It definitely motivates me to keep active and I love all the additional apps and functions, I would recommend it!",5.0
I upgraded my Fitbit HR to this version. Easy to install and a lot more advanced than my last one. More features and clear screen. Very happy with this buy.,5.0
"As a gym person I quite like it! It's not as smart as Apple watch but it's smart enough to help you deal with few things while on the go. Great synch with fitness Pal, no problem with iPhone synch so far. Battery is a winner I got it yesterday afternoon with 60% battery with a set up, full use of the features as I was playing around it has 55% today! I can't be more happy:) great sleep tracking, water intake, women health:) if you have a Revolut card great synch with contactless payments:)Events from Apple calendar pop up on the screen too! Sleek look and very very soft strap-super comfy even when sleeping:)So far so good!",5.0
Most of the features are useless.Cannot use to pay with contactless as only A couple of banks in UK are included.Cannot use for music as it won’t connect toDeezer even though I had to pay for a Deezer account and paired it.  I do not use iTunes so that app is useless.Could not get Alexa to work.Doesn’t show details of sleep quality unless you pay for the Premium account and I feel it’s a cheek to have to pay an extra subscription to use when the watch itself is expensive.Pros: Alarm is good and wakes up with vibration.I like the Relaxation app.Variety of watch faces to choose from.But overall unimpressed as this really is just an expensive watch with a step counter.  Now going to return it and stick with my cheaper step counter which has better features for a fraction of the price.,2.0
"I love my new watch. I have had a few Fitbits before but changed to a Samsung tracker for better integration with my phone. One thing I noticed very quickly, though, was that it wasn't tracking steps very accurately. This tracks every single step I take. If I walk 100 steps it counts 100 steps, whether I'm holding a bag (or motorbike helmet) or have my hands in my pockets. These were two things that seem to confuse the Samsung watch. The only bad point is that Fitbit seems to give me a few hundred extra steps a day when I ride the motorbike. The heart rate always seems a little high too, otherwise the watch is accurate.The app sometimes seems to struggle to sync with the watch, occasionally causing problems with passing notifications from the phone to the watch. The app needs a general update and ""sort out"" overall in my opinion. The food tracking is brilliant, with a HUGE catalogue of foods available to enter with just a barcode. If we were allowed to enter our own foods with a barcode (for the odd missing item) it would be a lot better still. Samsung's app and phone connection is 100 times better. Samsung also offer LOTS of free excercise plans and fitness tips, Fitbit have chosen to make these features ""Premium"" which is the very worst thing about Fitbit in general. This is the only way that Samsung is better than Fitbit.The watch looks lovely. I really love looking at it and it feels very comfortable 24 hours a day. The finish seems of a very high quality. This one of the reasons I chose this over other Fitbit models.The watch functions well as a fitness tracker, watch and calendar. The touch screen looks great and feels great to use. This watch motivates me to keep moving all day, helping me get fitter and lose a little weight.Overall this is the best watch I've ever owned and it is an absolute bargain.Update, 4 months with the watch I have lost 2 stone. Most importantly I have lost a lot of body fat and gained muscle. This was down to tracking the food on the app and keeping below the calories I had burned. I wasn't fat and haven't worked hard for this but having everything in one app has helped me realise what I was doing badly!",5.0
"Upgraded from son’s old Blaze (he went Apple) Always been a fan of the sleep tracking on Fitbit, which is the same as the old Blaze, due to the fact it uses the same App on your smart phone. The exception is battery life it’s simply excellent, without using the always on face, I’m getting about 5 days of charge, compared to Blaze which needed charging every morning whilst showering. (My sons Apple Watch S3 is on charge every night....Hah!) haven’t checked out all the apps yet, but really loving the sleeker design, the fact I can wear in the pool or shower, don’t need to remember press the ‘water proofing’ button as you do on Apple S3 Watch, just wear it like it’s a watch! The mobile app is clear, there aren’t as many apps as on a Apple to download- but that means it’s simple to use, easy to get the hang of, and quite frankly EXTREMELY GOOD VALUE at its price point.  If you’re not a die hard Apple fan and value the pennies in your pocket, the Versa 2 is your perfect fitness tracker!",5.0
Hi I had to return this item as it wouldn't download to my phone and still waiting for a refund,1.0
"I bought it during lockdown to encourage me to move more. I really wanted to like it - not only as the red gold and purple design appealed to me - but I'm utterly underwhelmed to say it politely!First of all it comes without any instruction manual at all and is very difficult to set up if you haven't owned one before. The screen is much smaller as expected from pictures and the black frame around display makes it even smaller which makes small writing difficult to read. Not very accurate either as I compared with GPS from my phone. This device is also more suitable for American Market as most of the apps are not supported in the UK, so useless! On top of an already expensive watch you have to pay nearly £10 per months to access premium services which puts me off most. You can buy a new smartwatch for the money you spend on premium services paid for a year!Watch itself is made from cheap plastic and charger style is fiddly if you want to use bumper case for screen protection as you have to remove it every time you want to charge it. Battery life is poor too (about 2 to 3 days) and I didn't even use always on display!Only pros for me:- nice clear Amoled display- fairly accurate sleep tracker- I liked the square screen design, just too small for me- it comes with 2 straps to fit every wrist and straps didn't irritated my sensitive skin- nice colour scheme - red gold with purple strap- lightweight as made from plasticTo sum it up: I don't understand the hype about fitbit products at all and returned it after a week for full refund.They are just cheaply made, overpriced basic pedometers for brand snobs and certainly not worth the money! You just pay for the brand and not quality which makes it very bad value for money! In fact my first experience with fitbit was so bad that I would not even try another product of this brand.I bought a Huawei GT2e (new model) instead for less than £100 while on offer which is superior to the fitbit versa 2! Bigger Amoled display in metal case, not plastic! Integrated GPS and all services are free incl a large range of watch faces. Not to mention a battery life of about 10 days! This is what I call quality and value for money! And even my gadget loving husband was so impressed that he ordered one for himself today, although he said he didn't want or need one! This says it all, lol.",1.0
"Great product let down by some slightly iffy syncing from time to time. Good battery life and good tracking as long as you don't expect miracles.  Good notifications from watts app etc.  Don't' really know why you would waste your money on an iWatch etc when you can get this. It would be nice if they did some work on the phone app though so you could more detailed heart rate tracking, for instance I have sleep apnea so being able to see minute by minute heart rate during the night would be useful but as it is you just see the whole day as a graph.",4.0
"Bought this in August 2019, it had been great. I connected it to Strava and used it to track my runs. Then last year I started cycling so I've been using it for that and tracking my steps aswell. That's all I wanted it for, not interested in sleep tracking or anything else really... Just tracking and keeping an eye on how many miles I've done during a ride and also my heart rate. The watch looks great and I'm still using the original strap and there's no scratches on it despite bashing it a few times. The battery still lasts 3 days too, even after using it for workouts.Issues -In the past month I've started to encounter problems with the device and it's been really unreliable. It wouldn't connect to Bluetooth, kept saying pairing rejected, and it kept losing my GPS signal which is a pain, and not syncing. I did a 16 mile bike ride today and it only tracked 3 miles of it. This is after following all the problem solving steps on the Fitbit website and speaking with customer service and spending 4 hours messing with it and eventually doing a factory reset. I thought that had solved the issues but it is just too unreliable for me now. I'm going to sell it and try the Versa 3 in hope that it will work but I'm also not too convinced that it won't fail at some point in future. It's a shame as I like Fitbit and the style of watch and interface but if I experience issues again then I won't be buying a Fitbit device in future.",3.0
